username,verified,followersCount,content,date,country,replyCount,retweetCount,likeCount,url,hashtags
Faisal_eth,False,927,@dtm_swag @CryptoVanessa So we need to investigate about the payment information to catch satoshi nakamoto 😍,2020-12-30 21:43:57+00:00,Argentina,0,0,1,https://twitter.com/Faisal_eth/status/1344398848597233667,[]
YoloSoloDolo,False,568,I wish I had listened when niggas was telling me about Bitcoin 5 years ago,2020-12-18 23:16:54+00:00,Mexico,1,0,0,https://twitter.com/YoloSoloDolo/status/1340073583087902726,[]
Petr_Moravec_,False,18,"@bitcoin_brown 👏🏻Similar here.
What about some of these $VIDT $BOND $EGLD $ORN $INJ $OCEAN 👀",2020-12-30 23:55:04+00:00,Argentina,0,0,0,https://twitter.com/Petr_Moravec_/status/1344431843769159680,[]
techsupportwoes,False,446,I love when I’m lost at what everybody is talkin about. That means my cleanse is working. Idc who baby mama did what &amp; which bitch got hips this week. What’s Bitcoin doing? How’s my check? When’s my bill due?,2020-12-27 16:16:37+00:00,Mexico,0,0,0,https://twitter.com/techsupportwoes/status/1343229306764480513,[]
2100news,False,588,"$LCX (chtL) has soared 55.43% since 6 pm. Basis Share $BAS is 16.51% (chtR) higher. Ethereum based tokens (NWSET100) ended +0.41%. Coins (NWSCo100) ended -0.98%. Ether ended +2.25%, Bitcoin ended even +6.30%.
https://t.co/toR00MCla8
$BTC $ETH #crypto #cryptotrading https://t.co/LHIZMCWcRw",2020-12-30 23:47:44+00:00,Argentina,0,0,1,https://twitter.com/2100news/status/1344429997344382981,"['crypto', 'cryptotrading']"
d4t4wr4ngl3r,False,1576,@TeslaGigaChad @RandyVegetables Tesla makes real things and will change the world for the better. Bitcoin is a construct. Bitcoin like gold and other currencies is a store of wealth but does nothing to create wealth - unless you are a Bitcoin miner.,2020-12-30 23:57:18+00:00,Argentina,0,0,6,https://twitter.com/d4t4wr4ngl3r/status/1344432405621432320,[]
Markwu_crypto,False,170,"“If you don’t believe it or don’t get it, I don’t have the time to try to convince you, sorry.” — Satoshi Nakamoto, creator of Bitcoin",2020-12-30 15:19:39+00:00,Argentina,0,0,0,https://twitter.com/Markwu_crypto/status/1344302134364315649,[]
chase_atl,False,340,i feel like i’m really setting myself back by not understanding bitcoin and Rare Pepes.,2020-12-23 20:17:18+00:00,Mexico,0,0,0,https://twitter.com/chase_atl/status/1341840323748777988,[]
leonard37275070,False,64,The price of Bitcoin will be $31100 at 00:00AM (UTC) https://t.co/GRa1dVRPNA,2020-12-30 23:58:05+00:00,Argentina,0,0,0,https://twitter.com/leonard37275070/status/1344432600962584576,[]
LexxBrown,False,1452,#Cryptocurrency‘s moving up right now in the green. Look like one of the most secure investments at the moment. We will use Bitcoin #Bitcoin #BitcoinCash #Litecoin #XRP #Ethereum #crypto,2020-04-06 18:23:39+00:00,Papua New Guinea,0,0,1,https://twitter.com/LexxBrown/status/1247228492300910593,"['Cryptocurrency', 'Bitcoin', 'BitcoinCash', 'Litecoin', 'XRP', 'Ethereum', 'crypto']"
btctradeteam,False,1139,"BTC short(like and  retweet)again  signal

Entry: 28800-28900(sell out  your capital %20 of your bitcoin every target points)
 (Risk limit: 5x - 10x)

Tp1.2.3.4.5 : 28650-28550 -28450 - 28350 - 28250 -28150-28050

Stoploss : 29800
#btcusd #bitmex #tradingview #ethusd #binanc",2020-12-30 19:52:27+00:00,Argentina,1,3,8,https://twitter.com/btctradeteam/status/1344370785738240000,"['btcusd', 'bitmex', 'tradingview', 'ethusd', 'binanc']"
DearJaemcityx,False,3515,"@OKEx 9  Eggs with #Crypto

They Are
2 $XRP
2 $EOS
2 $BTC
3 $ETH

@Christi80561602 
@Nathan20195 
@Mizhai3",2020-04-12 07:57:36+00:00,South Korea,0,0,0,https://twitter.com/DearJaemcityx/status/1249245269050327041,['Crypto']
kpackler,False,767,"Things I should have bought and stored away:

2000 - Pokémon cards 
2010 - Bitcoin
2020 - ?",2020-12-17 13:49:36+00:00,United States,0,0,0,https://twitter.com/kpackler/status/1339568431750918145,[]
Young_DayGo,False,4937,You pay in bitcoin https://t.co/TxFlh9u7Qk,2020-03-28 23:45:15+00:00,Canada,0,0,0,https://twitter.com/Young_DayGo/status/1244047934674649093,[]
brianejones81,False,273,I'm raising money for Bitcoin Fundraiser (BTC). Click to Donate https://t.co/A6D0b4CfmB,2020-05-16 14:24:07+00:00,Canada,0,0,0,https://twitter.com/brianejones81/status/1261663726790467584,[]
loner_nene,False,156,"I really want to get into bitcoin, idk who to learn it from tho helpppp",2020-12-23 17:26:30+00:00,El Salvador,1,0,0,https://twitter.com/loner_nene/status/1341797343847473153,[]
bitcoinomar,False,3614,Great end of the year! #bitcoin  bull run picking up steam https://t.co/fUcTHzZdEH,2020-12-28 17:10:51+00:00,Australia,2,3,5,https://twitter.com/bitcoinomar/status/1343605343872540673,['bitcoin']
malik3_,False,1360,I just feel like the moment I hop in Bitcoin its going to do a major sell😖😭,2020-12-26 00:35:12+00:00,Mexico,0,0,1,https://twitter.com/malik3_/status/1342630004644081674,[]
Voodolodya,False,379,@JackMallers @jhamel Bitcoin doesnt average +100% year,2020-12-30 23:55:40+00:00,Argentina,1,0,0,https://twitter.com/Voodolodya/status/1344431996349591552,[]
Roman40K,False,725,"#Bitcoin pumping!!! 
35.000$ HERE WE COME, THEN MOON 🌙

#cryptocurrency #BTC #BTCUSD 
🚀🚀🚀🚀",2020-12-30 19:04:22+00:00,Argentina,0,0,0,https://twitter.com/Roman40K/status/1344358686081343488,"['Bitcoin', 'cryptocurrency', 'BTC', 'BTCUSD']"
CalvinH93377335,False,566,@USARepublic50 @CBSNews Selling your bitcoin elixir...grifter. https://t.co/L44Vqzi3zw,2020-12-19 14:18:58+00:00,Mexico,0,0,0,https://twitter.com/CalvinH93377335/status/1340300598399422466,[]
